id            ,speaker_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,listener_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,empathy
sub_13_conv_2 ,Last week I spent it by myself at the house because my girlfriend went to visit her parents and she told me you always have a mess here in the house maybe you can spend some of the time cleaning it and I really wanted to do it but I ended up just playing video games all the time and she comes back tomorrow like i don't know what to do                                                                                                                                                                                                                                                      ,so do you live with your girlfriend                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      2
sub_13_conv_2 ,yeah we've been living together for around one year and it's going well but she just she doesn't like like my stuff is kind of kind of messy                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,So basically you cannot coordinate to make the cleaning of the house?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      2
sub_13_conv_2 ,"For here it's really important to have everything perfectly clean, but for me it's not like that. So I prefer spending time in other things like playing video games. but I guess I need to have like a balance not not only playing all the time at least that's what she wants and I'm also trying to to do it because it's good for me and for for us but I couldn't this time like last week I just play video games"                                                                                                                                                                            ,I think when living with other person it can be difficult and talking it's very important for the relationship so if you cannot maybe understand each other probably in the future it can be harder in other things like having if you get more serious like having maybe child or getting marriage could be more complicated so but yeah but living with your girlfriend it's a good step just to kind of test in the relationship so I think you shouldn't worry about who cleans but if you are having a bad life maybe you need to resolve this.   ,      2
sub_13_conv_2 ,Okay so I think everything so far is going good and I don't want to screw this up. That's why even though for me I think the house is okay even though it's a bit messy I want to have a good relationship with her and in the future like even to think about something more serious with her so that's that's why I feel a bit disappointed about myself this week I couldn't spend the time to work in the house but at the same time in our relationship                                                                                                                                          ,"Yeah well everybody needs its own space. So I think for the common places in the house, maybe it should be better to share the responsibilities of some days who decides who cleans that area. for example if you have your own space I think it's totally fine if you have your things as you as you want"                                                                                                                                                                                                                                           ,      2
sub_13_conv_2 ,makes total sense I didn't think about that but if we share a space then in that case both of us should be able to feel comfortable being there but if it's a space just for me and I don't mind the clutter that should be fine and then at least I will try to clean the the spaces that we share before she comes back tomorrow                                                                                                                                                                                                                                                                    ,yeah I think it's always very important to talk so talk to her and and explain then maybe he can understand you.                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      2
sub_13_conv_3 ,"My daughter's birthday was last week. She turned 25 already. And while we were at the party I realized she's not a girl anymore. She's a woman. Also after thinking about this I thought she's not just any woman she's very smart, capable and independent. So I'm pretty sure that in the future soon she will leave the house to pursue her dreams do what she wants in life."                                                                                                                                                                                                                    ,"Well, I don't have any daughter now, so I don't know how you can feel, but I think maybe it's something like you are just get used to it, you have your daughter with you every day at home and at some point she will go and I mean it may be difficult but I haven't had a daughter so I don't know I don't know how can you feel"                                                                                                                                                                                                                  ,      3
sub_13_conv_3 ,so of course I feel happy because she she's a great woman now but at the same time a bit sad because she won't be around anymore I mean in the house we want to share like the same things as we have for the last 25 years so I guess I feel happy sad                                                                                                                                                                                                                                                                                                                                               ,"Well, on the other hand, maybe you can release some responsibility and you can have more space at your home maybe. So you have another room for maybe your friends and I think she will be maybe fine because she is already an adult so I think there is not anything to worry about."                                                                                                                                                                                                                                                               ,      3
sub_13_conv_3 ,"Yes, you are totally right. Maybe I'm more afraid about the change than anything else because even though things are gonna change it's not for the worse I think it's for the better because I want my daughter to have a good life and I am sure like for her it's better if she leaves the house and also I should see that for us my wife and I like it could be also something good in a way that we can spend more time together by our ourselves"                                                                                                                                              ,"Yeah also for her living alone or in another house with her boyfriend or someone else can be good for personal growing. So I think it's also a good thing, not only for you, but for her."                                                                                                                                                                                                                                                                                                                                                            ,      3
sub_13_conv_4 ,Two weeks ago they released a new game that I really wanted to play because it looked just great. But it has like the newest technology so to play that game on PC you need the best equipment. So I spent thousands of dollars to get a new PC. I even borrowed some money from a friend. I've been playing the game for just a few days and it's really boring. I'm disappointed. And now I have this debt of a few thousand dollars that I have to pay for this game that at the end I didn't enjoy.                                                                                               ,"I'm sorry to hear that, but I haven't understand, did you buy also new equipment or only the new game?"                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      2
sub_13_conv_4 ,"I mean the game is not that expensive, I spent like 60 bucks on it but the most expensive parts were all the PC components I got to play the game even a new monitor and everything to have the best experience But the game is just bad."                                                                                                                                                                                                                                                                                                                                                           ,"I see. Well, at least you have a new PC and with new equipment, maybe you should think in a positive way that you can buy new games and for me for that specific requirement and some games sometimes are bad you don't know until you play it so I think probably you can try another one"                                                                                                                                                                                                                                                           ,      2
sub_13_conv_4 ,yeah I guess I will have to do that now that I have I spent all this money on this new PC at least to try to take advantage of it in other ways for example by playing different games on it                                                                                                                                                                                                                                                                                                                                                                                                          ,also if you are doing telework you can use it for making hard stuff programming so you can also take advantage of that equipment and also and get compensation back from your money so I think there is no any loss maybe see it like an investment because the PC will be PC you only have to update software you can have a good advantage of it                                                                                                                                                                                                     ,      2
sub_13_conv_5 ,"So as you know, next week is my birthday and this one is special because I'm turning 50 years old. Some people might say that I'm just an old guy but for me it makes me feel happy because it means that I've been able to spend more time in this world just enjoying life."                                                                                                                                                                                                                                                                                                                       ,"Well, happy birthday. You are already in the middle of the average. Yeah, so, well, I don't know how I can feel at that age, but I think it's also maybe like a goal, because many people don't, unfortunately they don't get 50 years. I think you should be very happy."                                                                                                                                                                                                                                                                            ,      3
sub_13_conv_5 ,"Yeah, exactly. You have only two options. You either get older or you die young. So I just want to keep living and keep getting older. So for me, I feel happy I'm getting older."                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Yeah, some people get sad when they get older. And some of them, they don't want to share their age. and I don't have any problem with that but I think it's very normal everybody is getting older so I think the important thing is enjoy it and if you have money spend it and do what you like"                                                                                                                                                                                                                                                   ,      3
sub_13_conv_5 ,how will you spend money in your 50s                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"Maybe bars, clubs, looking for young girls. That's the other thing. Your body is older and some things may not work as well as before. So yeah, maybe you go into the clubs and have fun."                                                                                                                                                                                                                                                                                                                                                            ,      3
sub_13_conv_6 ,My last birthday at least until last week was when I was 8 years old. It was a party that organized my parents. And last week was my 30th birthday. My girlfriend organized a surprise party for me. I just went to her place. She told me maybe we can watch a movie or something. I went there expecting just the usual but all my friends and family were there waiting for me for my party and I was it was so exciting                                                                                                                                                                           ,Oh really? such a nice gift from your girlfriend I think it's a very good gift if she took some time to gather up your family and friends. I think friends and family are maybe the best gift you can get especially if you live abroad. Yeah.                                                                                                                                                                                                                                                                                                         ,      2
sub_13_conv_6 ,"yes, she put so much effort into this party, organizing it. I just, I cannot believe how she was able to do it because even friends or family members that she doesn't know, they were there. So she really spent her time, and she knows me very well. Because, to be honest I think this has been my best gift ever."                                                                                                                                                                                                                                                                              ,I think you are really important for your girlfriend. and she tried to do something that made you happy and I think she was right. So I think it's a good gift for me.                                                                                                                                                                                                                                                                                                                                                                                 ,      2
sub_13_conv_7 ,So you are also here to take the final exams? Because me too and I'm really excited. I've been studying for this for over two years. So I want to demonstrate that I really know about my field and that I'm going to be a great engineer.                                                                                                                                                                                                                                                                                                                                                            ,"Yeah, me too. I'm here and I have studied hard some of my weekends also just at home studying, studying, but I am afraid maybe if I can't, if I cannot pass the exam I will be very disappointed I think so, but I don't like exams, maybe nobody likes, I don't know, But right now the only thing I want to do is finish the exam and see my score"                                                                                                                                                                                                 ,      1
sub_13_conv_7 ,"Yeah, I guess nobody enjoys exams me neither. But this time I feel excited because I never studied for that long for something. So it makes me feel confident."                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"Yeah, two years is a long time. It's like a master degree maybe. So I mean you can finally do the test and be free and yes and I hope you can pass it."                                                                                                                                                                                                                                                                                                                                                                                               ,      1
sub_13_conv_7 ,"Exactly. I'm also getting tired of studying for that long. So also for me, I see it as, OK, this is it. After taking this exam, I can get some rest."                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"In case you don't pass it, what will you do? Have you think about it? Because it might be kind of a depressing situation, because you studied a lot of time you invested maybe also not only time but money"                                                                                                                                                                                                                                                                                                                                          ,      1
sub_13_conv_7 ,"yes that's a possibility and i'm prepared for that but i don't know i think i'm just gonna get a really good score But if that's not the case, I guess I will have to continue with my life."                                                                                                                                                                                                                                                                                                                                                                                                        ,"Yeah, also, I think it's not your case, but for example, people from China, they also study very hard for a couple of months for the university exam. and some of them get very sad if they don't pass, also depresses. But I hope it's not your case."                                                                                                                                                                                                                                                                                               ,      1
sub_13_conv_8 ,"It might sound a bit extreme but I felt very sad when the last time I traveled I lost my phone. It sounds like something trivial but I went abroad. For the first time I went to India I was excited but the moment I was about to take the taxi to go to my hotel I realized that I lost my phone. On my phone I had everything there like my flight tickets, my reservations for the hotel everything. So it was it was just too complex to recover from that and I I didn't know how to navigate or to be in this foreign country without the help of my phone."                                  ,"Yeah, losing your phone should be a very though situation. And you know, we have everything in our phone. and you probably can't do anything without it. You cannot communicate, and there are no public phones maybe anymore in India. So, and I haven't heard that India is a safe or unsafe country, but I don't think so. so maybe you should you should very you probably experience a very bad situation"                                                                                                                                       ,      3
sub_13_conv_8 ,we depend a lot on our phones. It's a really good tool especially for traveling and I will try to be more careful like if I go somewhere and then yeah I was to try to protect my phone and also yes I don't know maybe I what to do to keep my phone closer to me and so I don't lose it again I don't want to experience this ever again in my life                                                                                                                                                                                                                                                 ,"In Japan they use something to hang in there, here. I think also that's a good idea, because sometimes you are free hands and that's why you forgot it. But if you have it here maybe, wherever you go you will bring it with yourself. But yeah, be careful."                                                                                                                                                                                                                                                                                        ,      3
sub_14_conv_1 ,"On my way here, just like 5 minutes ago, I got robbed. Somebody pointed a gun at me and he asked me to give him everything I had on me. I gave him my phone, my wallet. I got very scared. Now I don't have a way to go back home. I have no money or even a card to call my family."                                                                                                                                                                                                                                                                                                                ,"Oh, that's so unfortunate. Have you tried to go to the police box or something to discuss the situation?"                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      2
sub_14_conv_1 ,"Ah, that's the next thing I want to do because I was shocked. So right now I don't understand how I can talk to you just a few moments ago. I couldn't even think."                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"Okay, you can talk more to me and if you need something you can tell me. Maybe we can, yeah. Maybe I can help you in case you need some help to talk with the police or something."                                                                                                                                                                                                                                                                                                                                                                   ,      2
sub_14_conv_1 ,"If you could help me with that, just tell me where the police station is, that would be good enough."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"Yeah, that's just over there. And if you need something, you can just come back to this place."                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      2
sub_14_conv_2 ,So as you know I just enjoy cycling and playing video games and this summer finally I'm gonna be able to go back to my hobbies because the last couple of years I've been too busy at work but I don't know like the planets align and this summer I will be like 100% just spending time on my hobbies again.                                                                                                                                                                                                                                                                                        ,Oh that's so wonderful like I'm really glad to hear about that. Where are you going to go right now?                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      3
sub_14_conv_2 ,the first ride is gonna be easy one I think because I'm out of shape so maybe I just I will go to like downtown.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Oh nice like I don't do cycling much but maybe we can meet in downtown like we can eat something and then you can cycle home and I just take the train back home.                                                                                                                                                                                                                                                                                                                                                                                      ,      3
sub_14_conv_2 ,Oh that's an excellent plan like let's do that like I go by bicycle you go by train and then we meet there with something delicious                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,yes we can even have a race like which one is faster the train or the bike                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      3
sub_14_conv_3 ,probably your friend already told you I am not sure but I just broke up with my girlfriend we spent together over five years and I'm devastated I didn't see it coming I thought everything was going just right just just good like and it It just happened out of the blue. I don't know what to do. I feel like I cannot continue on my own.                                                                                                                                                                                                                                                       ,"Oh yeah, I heard that. She told me about this incident. I'm really sorry for that. Do you have plans with your friends? Maybe if you hang out or something, you can release the emotion and forget about it a bit?"                                                                                                                                                                                                                                                                                                                                   ,      3
sub_14_conv_3 ,I want to do something like to keep me busy but at the same time I feel like I don't want to do anything at all I don't have energy I don't know what to do                                                                                                                                                                                                                                                                                                                                                                                                                                           ,I think maybe you just need to take it one step at a time and if there's something you can always talk to her as well you've been knowing her for quite some time                                                                                                                                                                                                                                                                                                                                                                                      ,      3
sub_14_conv_3 ,yes i do my best because i don't want to be depressed like all the time i know I cannot avoid it but i will try to get better so yeah i think i'm gonna contact her                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"yeah that's good and if there's anything i know i haven't known you for quite long but maybe if If you want to talk, I can help. Just tell me."                                                                                                                                                                                                                                                                                                                                                                                                       ,      3
sub_14_conv_4 ,"Welcome to the company, you are one of the new employees. If you are like me, you will really like this place. I've been working here for over 12 years. I just want to continue working here. I'm sure that if I continue here because of my team and my boss, all the support I receive, I'm just gonna keep improving my work but also as a person. So hopefully you feel the same."                                                                                                                                                                                                              ,Thank you very much for the warm welcome and I'm very delighted that I can join this company. Maybe you can tell more about the team or the people inside there.                                                                                                                                                                                                                                                                                                                                                                                       ,      1
sub_14_conv_4 ,You will be part of my team so we'll work close. I'm gonna introduce you to the rest of the team. I think you will find it's gonna be a great experience.                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Thank you very much and I think for now I still don't know a lot of things so I really appreciate your help.                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      1
sub_14_conv_4 ,Don't be afraid of making questions or making mistakes. Everybody starts like that. We'll support you and give you everything you need so you can just continue improving.                                                                                                                                                                                                                                                                                                                                                                                                                            ,"Thank you again. And yeah, let's begin the orientation. How about it?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      1
sub_14_conv_5 ,"On my way here, I just saw a kid picking up a gum from the street and put it in his mouth and just started chewing it. And his mom saw everything. She didn't say anything to the kid. For her, it was just something normal people do."                                                                                                                                                                                                                                                                                                                                                             ,I cannot believe that people do that. I mean this is in Japan where the cleanliness is like one of the important thing and a mom letting a son to do such thing.                                                                                                                                                                                                                                                                                                                                                                                       ,      3
sub_14_conv_5 ,yeah imagine like all the i guess i don't know all the germs in that gum like all these bacteria i don't know and also i kind of understand how even the kid is in was he was like enjoying chewing this dirty gum                                                                                                                                                                                                                                                                                                                                                                                    ,yeah i bet that it will not taste good at all isn't it? And it's I don't know how long it's been there. It's scary.                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      3
sub_14_conv_5 ,Or maybe he likes that flavor. It's like just the dirt.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Okay I hope it's okay but yeah I cannot help to but imagine the situation and I feel a bit disgusted.                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      3
sub_14_conv_6 ,Like the flight is about to leave and I'm going on vacation. It's a three month vacation. I haven't had any vacation in a long time so I'm very excited.                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Oh yeah, I think we're going to a very nice destination in this flight. What is your plan when you arrive in the destination?"                                                                                                                                                                                                                                                                                                                                                                                                                        ,      2
sub_14_conv_6 ,Drinking a lot of margaritas at the beach definitely and just resting.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Yeah and I think that's a very good plan and yeah I think the weather is nice and the food will be nice and everything I think it will be perfect holiday and hope the flight will be safe.                                                                                                                                                                                                                                                                                                                                                            ,      2
sub_14_conv_6 ,"For you too, where are you going?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Oh, actually, look at this, like we go to the same destination, so I'm expecting also a good vacation there."                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      2
